	标点
拗	倔强
拗	扭转
期房	房屋 交 即将
稳产	事情 制造 稳固
适当	当
阵脚	境况 事件 万物
鸡爪枫	树
神话般	怪
画	画
画	表示
画	图像 画
画	部件 文字
浪费	奢
浪费	浪费
套换	得到 非法
夜路	事情 走 时间 夜
雷暴	雨雪 坏天 强
油荒	现象 缺少 材料 液态 焚烧
毕	完毕
毕	实现
毕	姓
闯进瓷器店的公牛	人 莽
将士	人 军队 军 众
拉力赛	事情 比赛 车 自动 体育
花事	时间 怀孕 花草
和	功能词
和	友善
和	编辑
和	相等 体育 较量
和	柔
和	和谐
和	混合
和	结果 数学 算术
和	唱
郴县	地方 县 中国 专
泐	文字 中国
播种机	机器 农 撒 部件 胚 植物
办公时间	时间 从事 事务 责任
正式地	正式
山楂树	树 生殖 水果
农业部	部件 机构 中国 政 归属中央 官 管理 管理 事务 农
农业部	部件 机构 美国 政 归属中央 官 管理 管理 事务 农
寄宿者	人 住下
下蛋	生殖 胚 禽
令人作呕	能 促使 厌恶
金融家	人 金融 富
异父姊妹	人 家庭 同辈 女 直系 众
誓称	发誓
海伦娜	地方 市 美国 专
苗族	族群 中国
编缉	编辑
睁	部件他移 部件 眼 人
心电图描记法	事情 形成 图像 医 电脑 诊察
来电	信件 到达
来电	发送 信件
顾前不顾后	蛮干
绲边	用具 装饰
绲边	包扎 配件 衣物
蜂群	虫 众
地图	图像 大地
罗姆人	人 与特定国家相关
申辩无罪	反驳 无罪 警
粟	庄稼
劼	卖力
风姿绰约	雅
铤	全 剩余 否
铤	快
铤	材料 金属 体
铤	部件 工 机器
铤	土石 矿
逆流	风气 群体 逆
逆流	反向
逆流	水 流 反向
球状体	物形 圆
打擂台	比赛
几百	基数
湛蓝	蓝
过桥米线	食品 烹调
兽皮	部件 皮 兽
结冰	态变 冰
验票	查 票证
网上的帖子	文书 场所 专 制造 软件 寻 文书 信息 因特网
果汁银元带子	食品 烹调
地方观念	思想 不公正
法轮大法	团体 归属值 无关 机构 政 官 管理
鼓气	促使
九	基数
九	时间 旬
侵略战争	境况 军 事情 攻打
一百万	基数
火眼金睛	能力 人 智 看
甘心	愿意
高层住宅	房屋 高
尿尿	排泄 排泄物 液态
高分子	部件 化学 物质
调笑	取乐
下床	离开 家具 睡
炒汇	交换 金融 货币 外国
亲和性	亲疏 生物
公报私仇	报复 不当
露天甲板	部件 位置 房屋 外 船
诈尸	复原 活着 死
笆篱	配件 建筑物 阻止
什么地方	功能词 疑问
难怪	功能词
绷场面	假装 雅
前	前
前	首次
前	将来
前	位置 前
前	过去 特定
前	时间 过去
侦办	控告 警 调查 警
困顿	穷
困顿	疲乏 超
挑花	事务 拴连 衣物
处理	处理
处理	消除
处理	卖
江堤	设施 水域 保护
尖口钳	用具 拿
嫁鸡随鸡	遵循 人 家庭 男 配偶
左右手	人 帮助
达尔豪西大学	场所 加拿大 教育 高等 专 学习 教
犯罪心理学	知识 精神 事情 刑事
编委	人 职位 文 编辑 读物
焊枪	用具 工 拴连
轧姘头	活着 共同 结婚 否
党委会	事情 商讨 部件 团体 中国 政 专
菪	文字 中国
吃不来	厌恶 吃
八股文	语文
不打不成相识	交往 争吵
跋语	部件 尾 书刊 语文
大专生	人 教育 学习 场所 教育 高等 学习 教
偶然	偶发
耳鬓厮磨	亲密
时差反应	现象 医 出现 疾病
葵花子	部件 胚 植物
客场	设施 体育 比赛
阜	陆地 凸 小
阜	多
穿衣服	穿戴 衣物
透视照片	图像 医 拍摄 诊察 医 看
小黄瓜蘸酱	食品 烹调
迷魂汤	药物 使动 不知 方向
嫌疑犯	人 经受 怀疑 从事 事情 有罪
阻拦	阻止
周围环境	位置 周围
东经	标志 大地 线
值得关注的人	人 注意
仿真	模仿
眸	部件 眼 动物
中成药	药物 中国
真空瓶	用具 放置
间歇泉	水域 面
蜗	虫
符号化	变性态 形状
所见所闻	信息
场站	场所
公开化	使动 公开
摆布	控制
摆布	装饰
强有力	强
强有力	健壮
紧身服	衣物 穿戴 部件 身 人
怎能	功能词 疑问
播放	传播
播放	表演 表演物 艺
破获	揭露
滋扰	捣乱
脱空	失败
实习医生资格	身分 人 职位 医 医治
过劳	事务 从事 超
过劳	疲乏 超
溉	浇灌
党群关系	亲疏 团体 政 人 普通 众
动词短语	部件 语言
北平	地方 市 中国 专
当	功能词
当	当作
当	承担
当	相等
当	管理
当	押给
当	当
当	认为
当	特定
当	担任
能源危机	现象 缺少 力量 物质
就职演说	语文 说
迷迷蒙蒙	糊涂
揆情度理	评估 利弊
刁买人心	赠 有罪 勾引
中外比	事情 分离 数学
小抒情曲	音乐
前事不忘	记得 事情 过去
接见	会面
护岸	设施 水域 保护
忧愤	着急
天下兴亡，匹夫有责	承担 责任 兴衰 地方 世界
寓处	地方 住下
向心力	力量 物质
号	场所 商业
号	乐器
号	姓名 实体 另
号	姓名 物质
号	尺寸 物质
号	喊
号	画
号	标志
号	声 发声 乐器 表示 信息 特定
号	符号
号	时间 日 特定
号	哭泣
压制性	能 制止
悼文	语文 致哀
工作时间	时间 从事 事务 职位 赚 活着
三十五	基数
倾倒	倒出
粮库	设施 保存 材料 食物 庄稼
英语水平考试	事情 考试 语言 英国 教育
白描	方法 文 编辑
白描	方法 文 画
弹力	力量 无生物
叫牌	提出 娱乐 用具
蓄意谋杀罪	事情 杀害 特意 警 有罪
监督权	权利 监察
同性恋自由运动	事情 人 爱恋 人 性别 似
密商	商讨 隐秘
称是	同意
市侩习气	举止 人 贪心 俗
树挂	冰
法官职位	职位 人 职位 警 裁定
乌干达	与特定国家相关 乌干达
乌干达	地方 国家 非洲 政 专
心情沉重	坏情
徽号	姓名 人 荣
积肥	采集 农 材料 农 喂 庄稼
山明水秀	美
贬责	贬低
走投无路	无能
论处	决定
溪	水域 线
而言	功能词
强占	占领 军 暴
X线断层摄影装置	器具 创造 图像
残损	缺
热得快	用具 加热
觥	用具 放置 饮品 嗜好
碎石钳	用具 医 医治
五洲	地方 世界 全面
威化饼干	食品
临床	时间特性值 医 经受 进展 医治
挟带	拾起
鲜为人知	无名
卢旺达	与特定国家相关 卢旺达
卢旺达	地方 国家 非洲 政 专
色迷迷地	淫
视话	读 语言 利用 人 残疾 发声 听
可取消	能 消除
晓	知道
晓	时间 晨
活动木偶	用具 娱乐
情仇	情感 仇恨 爱恋
勖	促使
尔诈我虞	欺骗 相互
前男友	人 男 过去 特定 爱恋
时尚	风气 群体
时尚	时髦
虚套子	规矩 空洞
心眼子	智慧 动物
咽喉	部件 部件 口 动物
咽喉	地方 重要
地理学者	人 有 知识 大地 天象
急诊患者	人 医 急 罹患 医治
说来话长	琐
11月份	时间 月 特定
舳舻	船 众
浑茫	浑
火把	用具 照射 点燃
用手枪殴打	打
娑	文字 中国
寝具	用具 睡
颓运	劫难
白磷	材料
夜盲症	疾病 残疾 看 时间 夜
暖洋洋	温
碎	变形状 缺
碎	缺
碎	琐 说
外寄生虫	虫 活着 依靠 动物 他
创举	事务 新 特别
光大	使成长
人名	姓名 人
红学	知识 书刊 中国 专 文
吆喝	喊
吆喝	喊 卖 商业
拆	拆卸
拆	消除
拆	分离
细纱	材料 衣物 用具
质量守恒定律	知识 物理
称颂	夸奖
花卉园艺学	知识 花草 农
玩儿得转	能够
环境保护工作者	人 保护 情况 实体
红色盲	疾病 部件 眼 动物
青春期	时间 人 青年
合著	编辑 共同
洛	文字 中国
易装癖	意愿 嗜好 衣物 另 性别
溃疡性	能力 动物 发炎
第十六	序数
无土	特性值 无 土石
侵入	攻打 军
共计	总计
不洁	洁 否
见马克思	死
饱和状态	境况 实体 满
辙	方法
辙	方法 音乐 语文
辙	痕 形成 车 变空间位置
出勤率	比率 人 从事 事务
无烟煤	材料 土石 焚烧
正餐	事情 吃 时间 夜
肉芽瘤	疾病
凄惶	悲哀
左轮	武器 军 射击
脑海	精神
ＰＤＡ	用具 电脑
椰子树	树
鸡头米	材料 食物
封建残余	部件 组织 输掉 剩余
海上救援	事情 救助 水域
第	序数
蔚蓝	蓝
节流	节省 费用
节流	部件 机器
黄帝	人 中国 政 元首 专
雪茄	嗜好物
若隐若现	含混
雨伞	用具 阻止 雨雪
胡编	瞎说
访友	看望 人 友
奇崛	非常好
河汊	部件 支 水域 线
健实	健壮
非金属	特性值 非 金属
歪斜	歪
竿子	物形 长 直
不入流	低等
采伐	折断
缩微平片	部件 用具 拍摄 图像
珠三角	地方 中国 专
转台	设施 艺 表演
牢靠	稳固
讨厌	能 促使 厌恶
讨厌	难
讨厌	厌恶
顶头上司	人 直接 官
胆识	胆量 动物 群体
凉鞋	衣物 穿戴 部件 脚 人
皮夹	用具 放置
鸽派	举止 人 喜欢 否 争斗
鸽派	人 喜欢 否 争斗
洪都拉斯人	人 洪都拉斯
蒗	文字 中国
鲑鱼	鱼
斯大林格勒	地方 市 苏联 专
瓜籽	部件 胚 水果
万万没	功能词 否
宜昌	地方 市 中国 专
时空	空间 时间
牢狱	场所 警 扣住 人 有罪 处罚 人 有罪
书卷气	仪态 人 雅
失落	孤
失落	失去
西历	律法 时间
远赴	前往 远
愣怔怔	木然
叹词	部件 语言
阻力	力量 万物 阻止
嘻皮笑脸	笑
北京航空航天大学	场所 中国 教育 高等 专 学习 教
杂处	活着 共同
未婚母亲	人 家庭 女 直系 长辈 未婚
猛地	骤然
的的确确	功能词
奏疏	语文 皇 交
冲绳县	地方 省 日本 专
反应过度	事情 回应 超
蜜饯	食品 水果
底角	图像 数学 角
治污	控制 使脏
至诚	诚心
试销	卖 商业 尝试
裣	文字 中国
胖头鱼	鱼
赠券	票证 赠
瓶起子	用具 打开 用具 放置
监考	监察 考试 教育
绝对空间	空间
只争朝夕	快干
割地	放弃 政 陆地
翻身仗	事情 改变 成功 失败
庙堂	设施 宗教
皿	文字 中国
卤蛋	食品 烹调
邋里邋遢的人	人 邋遢
微小	小 很
奋勇	勇
饶多	多
肥水不外流	留存 水 能 改良
口称	发表
一言一行	事情 行动 说
技术监督	事情 监察 知识
万状	全面
村庄	地方 乡
再则	功能词
麻雀	禽
嬉耍	笑 娱乐
校准	查 改正
贫富	贫富 群体 人
幼儿教育	事务 教 少儿 教育
羞愧	羞愧
膝盖	部件 部件 腿 动物
加官	升级
不谋而合	适合 商讨 否 思想
自然死亡	死 原因 天然
职权	势力 人 职位
猜出	猜测 达成
放火	捣乱
放火	点燃 非法
初时	早期
深情厚意	情感 友 深刻
显目	清晰
恶骂	谴责
早日	早
明虾	鱼
荣耀	荣辱 群体 人 荣
倒灌	流
倒灌	浇灌
不屑	轻视
叫魂	召唤 精神
性欲	意愿 期望 交配
性欲	意愿 期望 交配 生物学
寡糖	化学物 生物学
东江豆腐煲	食品 烹调
创刊	出版 首次
不平	不公正
不平	平 否
不平	不满
丑名	名声 群体 人 辱
刻刀	用具 雕刻
拉近	使动 亲密
拉近	缩小 短
醋酯纤维	材料
水电费	费用 买 电 水
尘俗	地方 世界
放荡	淫
寰球	地方 世界
酸菜	食品
翻脸不认人	违背 情感
国际电信联盟	部件 经济 机构 联合国 政 专 国际
生物芯片	部件 电 线 器具
卣	用具 放置
京都大学	场所 日本 教育 高等 专 学习 教
直到现在	长时间
退休者	人 停做 担任
馈	赠
薏米	材料 食物 庄稼
润饰	优化
冬末	时间 冬 晚期
家贼难防	难 阻止 人 家庭 有罪 偷
国际象棋	用具 娱乐
湿软	软
柜房	部件 商业 场所 买 卖 计算 货币 收 货币
革新者	人 改良
杂音	声 杂
笫	用具 躺卧
日托	场所 照料 人 少儿
日托	事情 照料 人 少儿
炅	温度 天象 夏 热
炅	明
炅	光
炅	姓
锤炼	优化
锤炼	打
锤炼	培养
暂居	住下 临时
文艺	事务 艺 文
巡风	查
克汀病	疾病
气盛	傲
眈	看
长得超常	成长 超
万事如意	成为 好运
琦	非常好
令狐	姓
校舍	房屋 场所 教育 学习 教
门房	人 职位 防守 房屋
门房	部件 口 建筑物 防守
百万雄师	军队 有威力
视觉记忆测试镜	用具 查 感受 看
支嘴儿	命令
劐开	破开
前述	特定
动脉瘤	疾病 部件 络 部件 脏 动物 循环
洗去	洗涤 达成
拍卖行	场所 商业 卖 较量
珠圆玉润	好听
放羊	喂 农 驱赶 陆地 花草 饲养 牲畜
放羊	经受 放纵
拙	讷
拙	特定 我
接住	捉住 达成
势焰万丈	有威力 有罪
亮点	功 实体 事件 有功劳
亮点	光
怀孕期	时间 怀孕
县政府	机构 管理 地方 县
孵化场	场所 农 生殖 兽
曲线回归	现象 返回 数学
一副眼镜	用具 看
折本	亏损 金融 资金
搭腔	答
搭腔	谈话
涥	文字 中国
汤盘	用具 放置 食品 液态 烹调
任人宰割	放纵 损害 人 己 遭受 强迫
井然有序	齐
盒装	外包装值
掂	测量
生猛	新
生猛	健壮
昌平	地方 县 中国 专
銮铃	用具 发声
异言	语文 不同意
生产物	人工物
泛酸	腹症
脉	部件 络 部件 脏 动物 循环
脉	现象 颤动 部件 心 部件 脏 动物 循环
青藏高原	地方 中国 专
盛衰荣辱	兴衰 群体 人
固氮	化学物
合辙	适合
心旷神怡	满意
赤地千里	荒
使用寿命	久暂 人工物 利用
开山祖师	人 创造
喧嚣	嘈杂
立柱	部件 骨 建筑物
贸易部	部件 机构 中国 政 归属中央 官 管理 管理 事务 商业
铺盖卷	用具 睡
部落	族群
畀	给
错误判断	裁定 误
羽毛	部件 毛 禽
进入睡乡	睡 达成
马力	单位 功率
澹	静
去年5月	时间 月 特定
小宝贝	人 少儿
硝酸甘油	药物
最不发达国家	地方 国家 政 衰
平凉	地方 市 中国 专
招标	邀请 承担
成衣	衣物 已加工
掉队	不如
当事者	人 有关
打破	撞 坏掉
打破	消除
粪	排泄物
国际标准期刊编号	编号 书刊 国际
释义	说明 词语
释义	信息
蛇蝎	人 歹 众
大凡	功能词
机长	人 职位 官 管理 飞行器
面带怒色	示怒
注脚	部件 尾 书刊 语文 说明
苇	花草 材料
忿然	感情特性值 生气
庑	部件 络 建筑物
潆	文字 中国
迎亲	会面 结婚 女
杂说不一	异 念头
小病	疾病 轻微
自动楼梯	部件 运送 下移 上移
冰茶	饮品
三价	能 化学 物质 合并 化学物
应考	从事 考试
勇敢的人	人 勇
亵	淫
轮毂	部件 车
类人猿	走兽
复杂的事件处理	事情 处理 事件
立刻	旋即
中奖人	人 得到 用具 奖励
卫戍	防守 军
大虾意粉	食品 烹调
客厅	房间 招待 人 看望
甬道	部件 络 建筑物
甬道	道路
恋家	不舍 家庭
突围	破开 物形 形成 包围 军
非类固醇	化学物
肠	食品
肠	部件 脏 部件 脏 动物 消化
消费品信用贷款	多少 货币 金融 借出 高于正常 最
思惟	思想
思惟	思考
刮器	用具 医 医治 切削 破开
诱致	导致
气度不凡	神气
追踪	跟随 近
犹太圆顶小帽	衣物 与特定国家相关 犹太人 穿戴 部件 头 人
恶灵	拟人 歹
官服	衣物 人 职位 官
智者千虑，必有一失	失败 计划 细心
叠字	现象 重复 文字
自学者	人 学习 己
石油	材料 液态 焚烧
训练	练习
训练	教
卓绝	极
军眷	人 家庭 军 直系
无霜期	时间 雨雪
顾客至上	是 重要 最 人 商业 买
缓慢	慢
小姐	人 女
小姐	人 女 未婚
拇指	部件 部件 手 人
远离	相距 远
远离	离开
研究生院	场所 教育 高等 学习 教
置若罔闻	慢待
吃香	有用
所致	缘于
肌肉学	知识 生物
筹募	采集
比赛项目	事情 比赛 体育
科研型大学	场所 教育 高等 学习 教
地位低下	低等
体谅	怜悯
心存芥蒂	心怀 情感 不容
偷梁换柱	欺骗
百尺竿头	优化
螓	虫
罗得西亚人	人 罗得西亚
傻乎乎	愚
宋体字	文字
'	标点
疑似病例	实例 疾病 医 疑似
赴任	担任 职位 官
工贸	事务 商业 事务 工
城市规划	计划 地方 市
凶讯	信息 死
强势	有利
羊绒	部件 材料 毛 牲畜
置之度外	轻视
得意扬扬	满意 极
远望	看 远
锆	金属 化学
年成	境况 农 采集 庄稼
反面	后
反面	反面
反面	部件 边 后 物质
反面	部件 反面 实体
旧病	疾病 长时间
虚惊一场	害怕 信息 指代 境况 危 伪
悬索	材料 线 金属 拴连
拖拉	慢
自负盈亏	承担 人 己 亏损 赚 金融
预备役	事务 从事 军
杌凳	家具 身矮 坐蹲
使脏	使脏
语义	信息
语义	信息 语言
成分	出身 人
成分	部分 实体
主要	重要
主要	主
联机	连接 电脑
卑贱	低等
卑贱	卑劣
搀假	伪造 混合 物质 伪
强化	变性态 强
强化	加固
二老	人 家庭 女 直系 长辈 人 家庭 直系 男 长辈
死亡人员名单	文书 姓名 人 死
灬	文字 中国
付账	付 货币
逃避现实	躲避 实体 充实
血泡	现象 医 出现 疾病 部件 皮 动物
邮政	事务 邮寄
大呼小叫	喊
判词	文书 裁定 警
暴跌	减少 经济 快 价格
第二国际	团体 政 国际
田鼠	走兽
翻看	读
松蘑	低植 吃
力挽狂澜	改正 卖力
杜松子酒	饮品 嗜好
离境	离开 地方 国家 政
背叛者	人 背叛
休伦湖	水域 美洲 专 面
逶	弯
外展肌	部件 肉 动物
两面派	人 不诚实
渗透者	人 影响
男尊女卑	规矩 坏风气
何故	功能词 疑问
贷款额度	多少 货币 金融 借出
巡回展览	展示 循环
吃醋	妒忌
心理医生	人 职位 医 医治 疾病 精神
山系	陆地 凸
